timestamp,src_ip,dst_ip,dst_port,bytes,label,flags
2025-10-23 17:23:40.499708,192.168.100.1,10.0.2.25,712,1164,Normal,
2025-10-23 13:57:40.501159,192.168.100.1,10.0.9.3,959,894,Normal,
2025-10-23 14:33:40.501159,192.168.100.1,10.0.4.21,567,3711,Normal,S
2025-10-23 16:20:40.501159,192.168.100.1,10.0.5.20,708,1629,Normal,R
2025-10-23 10:11:40.501159,192.168.100.1,10.0.5.17,241,4732,Normal,F
2025-10-24 00:39:40.501159,192.168.100.1,10.0.9.16,71,4767,Normal,SA
2025-10-23 19:28:40.501159,192.168.100.1,10.0.3.44,757,3572,Normal,SA
2025-10-23 11:11:40.501159,192.168.100.1,10.0.6.29,260,2314,Normal,S
2025-10-23 11:14:40.501159,192.168.100.1,10.0.8.31,394,626,Normal,S
2025-10-23 13:05:40.501159,192.168.100.1,10.0.1.38,583,3085,Normal,R
2025-10-23 15:54:40.501159,192.168.100.1,10.0.10.11,690,332,Normal,R
2025-10-23 13:53:40.501159,192.168.100.1,10.0.9.34,532,4815,Normal,
2025-10-23 23:49:40.501159,192.168.100.1,10.0.3.42,950,2133,Normal,S
2025-10-23 23:01:40.501159,192.168.100.1,10.0.4.33,991,3092,Normal,F
2025-10-23 11:56:40.501159,192.168.100.1,10.0.7.35,806,255,Normal,S
2025-10-23 17:17:40.501159,192.168.100.1,10.0.8.40,710,497,Normal,R
2025-10-23 18:13:40.501159,192.168.100.1,10.0.3.11,299,3292,Attack,
2025-10-23 18:48:40.501159,192.168.100.1,10.0.5.10,218,1361,Normal,F
2025-10-23 18:35:40.501159,192.168.100.1,10.0.2.17,491,244,Normal,F
2025-10-24 01:19:40.501159,192.168.100.1,10.0.10.16,786,3597,Normal,F
2025-10-23 16:56:40.501159,192.168.100.1,10.0.1.33,988,2505,Begin,SA
2025-10-24 01:17:40.501159,192.168.100.1,10.0.5.17,157,1743,Begin,F
2025-10-23 17:38:40.501159,192.168.100.1,10.0.2.32,602,4091,Normal,R
